,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,race,p1_victor,p1_long_rallies_won,Score Factor,Service Factor,Break Factor,Rally Factor,Points Advantage,Serve Advantage,Unforced Errors,Winners,Momentum,p1_score_diff,momen_diff,fluc_point
0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:00:00,1,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.349,26.569,6,113.0,BC,NCTL,ND,0,1,1,0,0,0.0,0.5822784736420447,1,-1,0,0,0.0,0.0,0.0,0
1,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:00:47,1,1,2,0,0,0,0,15,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.913,6.21,2,101.0,B,NCTL,D,0,1,0,0,0,0.0,0.5822784736420447,2,-1,0,0,0.0,1.0,0.0,0
2,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:01:27,1,1,3,0,0,0,0,30,0,2,1,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.622,0.887,1,132.0,C,NCTL,,1,0,0,0,-1,0.0,0.5822784736420447,1,-1,0,0,-0.4628137979449753,0.0,-0.4628137979449753,0
3,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:01:50,1,1,4,0,0,0,0,30,15,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.115,6.962,2,128.0,BW,NCTL,ND,0,1,0,0,-1,0.0,0.5822784736420447,1,-1,0,0,0.04312783097109241,1.0,0.5059416289160676,0
4,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:02:20,1,1,5,0,0,0,0,40,15,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,20.991,19.955,3,127.0,BW,CTL,ND,0,0,0,0,-1,-0.9999990000010001,0.5822784736420447,-1,-1,0,0,-1.905338337760603,0.0,-1.9484661687316955,0
5,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:03:11,1,1,6,0,0,0,0,40,30,2,2,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,16.972,17.952,5,105.0,B,NCTL,D,0,0,0,0,0,-0.99999950000025,0.5822784736420447,-1,-1,-1,0,-2.019766706456803,0.0,-0.11442836869619999,0
6,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:03:59,1,1,7,0,0,0,0,40,40,2,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.565,5.604,1,133.0,C,CTL,D,0,0,0,0,0,-0.99999950000025,0.5822784736420447,-3,-1,-1,0,-3.98095277024554,0.0,-1.961186063788737,0
7,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:04:24,1,1,8,0,0,0,0,40,AD,2,1,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,30.1,23.585,5,130.0,W,NCTL,D,0,0,0,0,0,-0.9999990000010001,0.5822784736420447,-3,-1,-1,0,-4.074111569919555,0.0,-0.0931587996740153,0
8,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:05:39,1,2,9,0,0,0,1,0,0,1,2,2,3,6,0,0,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.317,10.126,4,100.0,B,NCTL,D,0,0,0,-1,0,0.0,0.5822784736420447,-3,1,0,0,-2.539475225409767,0.0,1.5346363445097886,0
9,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:06:21,1,2,10,0,0,0,1,0,15,1,1,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.895,6.959,1,119.0,BW,CTL,ND,0,1,0,-1,0,0.0,0.5822784736420447,-1,1,0,0,-0.35465985872385275,1.0,2.184815366685914,0
10,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:06:44,1,2,11,0,0,0,1,15,15,1,1,2,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.492,7.728,2,128.0,BC,NCTL,ND,0,0,0,-1,0,0.0,0.5822784736420447,-1,1,-1,0,-0.9753726269116647,0.0,-0.620712768187812,0
11,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:07:18,1,2,12,0,0,0,1,15,30,1,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.711,6.005,1,126.0,C,NCTL,ND,0,1,0,-1,0,0.0,0.5822784736420447,1,1,-1,0,1.6089219572655893,1.0,2.584294584177254,1
12,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:07:44,1,2,13,0,0,0,1,30,30,1,1,1,6,7,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.876,47.397,11,107.0,W,CTL,ND,0,1,1,-1,0,0.0,0.5822784736420447,1,1,-1,1,1.8459909960222856,1.0,0.23706903875669627,0
13,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:08:32,1,2,14,0,0,0,1,40,30,1,2,1,7,7,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.033,16.453,5,91.0,BW,NCTL,ND,0,1,1,-1,0,0.0,0.5822784736420447,3,1,0,2,4.814980707813739,1.0,2.968989711791454,0
14,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:09:45,1,3,15,0,0,1,1,0,0,2,1,2,7,8,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.019,6.955,3,115.0,W,CTL,D,0,0,0,0,0,0.0,0.5822784736420447,1,-1,0,2,-0.7024582109608266,0.0,-5.517438918774566,1
15,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:10:11,1,3,16,0,0,1,1,0,15,2,2,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,14.552,2,107.0,BC,NCTL,ND,0,1,0,0,0,0.0,0.5822784736420447,1,-1,0,1,-0.16789673438592123,1.0,0.5345614765749054,0
16,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:10:52,1,3,17,0,0,1,1,15,15,2,1,2,8,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.519,0.763,1,116.0,W,CTL,,1,0,0,0,-1,0.0,0.5822784736420447,-1,-1,0,0,-2.37181975069562,0.0,-2.2039230163096986,0
