Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,race,p1_victor,Momentum_1,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,race,p1_victor,Momentum_2,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,race,p1_victor,Momentum_3,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,race,p1_victor,Momentum_4,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,race,p1_victor,Momentum_5
0.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.84,2.0,95.0,BC,NCTL,ND,0.0,0.0,0.0,0.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:00:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.349,26.569,6.0,113.0,BC,NCTL,ND,0.0,1.0,0.0,0.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:00:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,5.834,1.0,102.0,B,NCTL,ND,0.0,1.0,0.0,0.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:00:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.649,0.489,1.0,112.0,W,CTL,ND,0.0,1.0,0.0,0,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:00:00,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.661,4.341,1,111.0,W,CTL,D,0,0,0.0
1.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:38,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.253,7.094,1.0,118.0,B,CTL,ND,0.0,1.0,0.0,1.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:00:47,1.0,1.0,2.0,0.0,0.0,0.0,0.0,15,0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.913,6.21,2.0,101.0,B,NCTL,D,0.0,1.0,0.0,1.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:00:54,1.0,1.0,2.0,0.0,0.0,0.0,0.0,15,0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.427,19.436,4.0,127.0,B,NCTL,D,0.0,0.0,0.0,1.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:00:27,1.0,1.0,2.0,0.0,0.0,0.0,0.0,15,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.325,22.588,5.0,89.0,W,NCTL,D,0.0,1.0,0.0,1,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:00:25,1,1,2,0,0,0,0,0,15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.502,22.307,4,126.0,BW,NCTL,ND,0,1,0.0
2.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:01,1.0,1.0,3.0,0.0,0.0,0.0,0.0,15,15,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,19.808,4.0,120.0,B,NCTL,D,0.0,0.0,-2.2473684279224377,2.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:01:27,1.0,1.0,3.0,0.0,0.0,0.0,0.0,30,0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.622,0.887,1.0,132.0,C,NCTL,0,1.0,0.0,0.5822784736420447,2.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:01:25,1.0,1.0,3.0,0.0,0.0,0.0,0.0,15,15,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.596,8.51,2.0,102.0,B,NCTL,D,0.0,0.0,-1.3642857238520407,2.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:01:10,1.0,1.0,3.0,0.0,0.0,0.0,0.0,30,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.286,7.28,3.0,108.0,W,CTL,ND,0.0,1.0,4.7761904686318974,2,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:01:19,1,1,3,0,0,0,0,15,15,2,2,1,2,1,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.786,2.926,2,102.0,BW,NCTL,ND,0,1,2.511999995904
3.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:31,1.0,1.0,4.0,0.0,0.0,0.0,0.0,15,30,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.108,75.631,13.0,130.0,BW,CTL,D,0.0,1.0,1.8526315720775623,3.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:01:50,1.0,1.0,4.0,0.0,0.0,0.0,0.0,30,15,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.115,6.962,2.0,128.0,BW,NCTL,ND,0.0,1.0,0.5822784736420447,3.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:02:11,1.0,1.0,4.0,0.0,0.0,0.0,0.0,15,30,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.03,43.953,11.0,121.0,BC,NCTL,D,0.0,1.0,-0.3642857238520407,3.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:01:36,1.0,1.0,4.0,0.0,0.0,0.0,0.0,40,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.427,7.461,1.0,104.0,C,NCTL,D,0.0,1.0,4.7761904686318974,3,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:02:17,1,1,4,0,0,0,0,30,15,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.907,4.209,1,120.0,BC,CTL,ND,0,0,2.511999995904
4.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:21,1.0,1.0,5.0,0.0,0.0,0.0,0.0,30,30,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.649,0.813,1.0,112.0,W,NCTL,0,1.0,1.0,3.852631572077563,4.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:02:20,1.0,1.0,5.0,0.0,0.0,0.0,0.0,40,15,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,20.991,19.955,3.0,127.0,BW,CTL,ND,0.0,0.0,-6.417716526362956,4.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:02:55,1.0,1.0,5.0,0.0,0.0,0.0,0.0,30,30,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.027,35.431,6.0,105.0,BC,CTL,D,0.0,0.0,-1.3642857238520407,4.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:02:36,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0,0.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.482,26.312,7.0,121.0,C,NCTL,D,0.0,0.0,1.6761904686318974,4,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:03:02,1,1,5,0,0,0,0,30,30,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12.881,8.676,2,108.0,W,CTL,ND,0,1,2.511999995904
5.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:50,1.0,1.0,6.0,0.0,0.0,0.0,0.0,40,30,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.291,4.249,2.0,97.0,BW,NCTL,ND,0.0,0.0,4.852631572077563,5.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:03:11,1.0,1.0,6.0,0.0,0.0,0.0,0.0,40,30,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.972,17.952,5.0,105.0,B,NCTL,D,0.0,0.0,-6.417719026359205,5.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:03:47,1.0,1.0,6.0,0.0,0.0,0.0,0.0,30,40,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.85,8.159,1.0,132.0,W,NCTL,ND,0.0,1.0,6.73570927615296,5.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:03:05,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0,15.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.372,16.829,5.0,124.0,BC,NCTL,ND,0.0,0.0,-1.4238095313681027,5,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:03:38,1,1,6,0,0,0,0,40,30,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.293,7.704,1,127.0,W,NCTL,D,0,0,-5.487995004101
6.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:03:33,1.0,1.0,7.0,0.0,0.0,0.0,0.0,40,40,1.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.817,17.821,1.0,109.0,W,CTL,D,1.0,1.0,5.852631572077563,6.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:03:59,1.0,1.0,7.0,0.0,0.0,0.0,0.0,40,40,2.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.565,5.604,1.0,133.0,C,CTL,D,0.0,0.0,-8.417719026359205,6.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:04:18,1.0,1.0,7.0,0.0,0.0,0.0,0.0,40,40,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.146,26.369,7.0,113.0,B,CTL,ND,0.0,1.0,6.73570927615296,6.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:03:32,1.0,2.0,7.0,0.0,0.0,1.0,0.0,0,30.0,2.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.871,7.444,2.0,94.0,BC,NCTL,D,0.0,1.0,-1.5238095313681026,6,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:04:05,1,1,7,0,0,0,0,40,40,2,1,2,3,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23.283,19.531,5,111.0,W,CTL,ND,0,0,-5.487995004101
7.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:01,1.0,1.0,8.0,0.0,0.0,0.0,0.0,AD,40,1.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.503,18.067,6.0,105.0,B,NCTL,ND,0.0,0.0,1.7526315720775625,7.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:04:24,1.0,1.0,8.0,0.0,0.0,0.0,0.0,40,AD,2.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,23.585,5.0,130.0,W,NCTL,D,0.0,0.0,-8.417716526362955,7.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:04:59,1.0,1.0,8.0,0.0,0.0,0.0,0.0,AD,40,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.097,17.608,5.0,118.0,BC,NCTL,ND,0.0,1.0,9.83570927615296,7.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:04:00,1.0,2.0,8.0,0.0,0.0,1.0,0.0,15,30.0,2.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.575,1.0,123.0,C,NCTL,0,1.0,0.0,-1.5238095313681026,7,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:04:41,1,1,8,0,0,0,0,40,AD,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.179,24.58,6,124.0,BW,NCTL,D,0,1,-5.487995004101
8.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:48,1.0,1.0,9.0,0.0,0.0,0.0,0.0,40,40,1.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.489,24.594,7.0,128.0,BC,CTL,D,0.0,1.0,3.852631572077563,8.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:05:39,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0,0,1.0,2.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.317,10.126,4.0,100.0,B,NCTL,D,0.0,0.0,-2.4177215263579552,8.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:06:19,1.0,2.0,9.0,0.0,0.0,1.0,0.0,0,0,2.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.495,8.964,3.0,105.0,BC,NCTL,D,0.0,0.0,1.7357142761479594,8.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:04:23,1.0,2.0,9.0,0.0,0.0,1.0,0.0,15,40.0,2.0,1.0,2.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.863,16.794,3.0,116.0,W,CTL,ND,0.0,0.0,-1.5238095313681026,8,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:06:03,1,1,9,0,0,0,0,40,40,2,1,2,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29.115,28.599,7,127.0,C,NCTL,D,0,0,-1.488000004096
9.0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:05:32,1.0,1.0,10.0,0.0,0.0,0.0,0.0,AD,40,1.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.235,27.427,5.0,110.0,B,NCTL,ND,0.0,1.0,1.8526315720775623,9.0,2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,0:06:21,1.0,2.0,10.0,0.0,0.0,0.0,1.0,0,15,1.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.895,6.959,1.0,119.0,BW,CTL,ND,0.0,1.0,-0.3177215263579553,9.0,2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,0:06:53,1.0,2.0,10.0,0.0,0.0,1.0,0.0,0,15,2.0,2.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.039,8.862,0.0,0.0,W,CTL,ND,0.0,1.0,1.6357142761479593,9.0,2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,0:05:03,1.0,3.0,10.0,0.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033,5.318,1.0,110.0,BW,NCTL,0,0.0,1.0,-1.4238095313681025,9,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:06:43,1,1,10,0,0,0,0,40,AD,2,1,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.941,7.816,1,125.0,W,CTL,ND,0,0,-1.488000004096
