,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,race,p1_victor,p1_long_rallies_won,Score Factor,Service Factor,Break Factor,Rally Factor,Points Advantage,Serve Advantage,Unforced Errors,Winners,Momentum,p1_score_diff,momen_diff
3,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:02:17,1,1,4,0,0,0,0,30,15,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.907,4.209,1,120.0,BC,CTL,ND,0,0,0,0,0,0.0,0.511999995904,1,-1,0,1,0.7133926230517227,0.0,0.0
4,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:03:02,1,1,5,0,0,0,0,30,30,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12.881,8.676,2,108.0,W,CTL,ND,0,1,0,0,0,0.0,0.511999995904,1,-1,0,1,1.0714633242252127,1.0,0.35807070117349005
6,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:04:05,1,1,7,0,0,0,0,40,40,2,1,2,3,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23.283,19.531,5,111.0,W,CTL,ND,0,0,0,0,0,-0.9999990000010001,0.511999995904,-1,-1,0,0,-1.3708601041934847,0.0,-0.4178334868609803
14,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:10:57,1,2,15,0,0,0,1,15,40,1,1,1,6,9,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.638,7.393,3,128.0,BC,NCTL,ND,0,1,0,-1,0,0.99999950000025,0.511999995904,1,1,-1,1,2.7514834271595436,1.0,2.7306422425531807
17,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:13:23,1,3,18,0,0,0,2,0,15,2,2,1,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.805,34.701,8,107.0,C,NCTL,D,0,1,1,-2,0,-0.9999990000010001,0.511999995904,-1,-1,-1,0,-0.8488963191091718,1.0,0.4490925422184493
26,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:21:55,1,4,27,0,0,0,3,15,40,1,2,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12.367,12.258,3,110.0,B,CTL,D,0,1,0,-3,0,0.9999990000010001,0.511999995904,-1,1,-1,0,0.21027161096168911,1.0,0.31177552256303775
28,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:23:16,1,4,29,0,0,0,3,40,40,1,2,2,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.456,41.723,10,98.0,C,NCTL,ND,0,0,0,-3,0,0.99999950000025,0.511999995904,1,1,0,1,0.9346863400350907,0.0,-1.3253443534221383
29,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:24:11,1,4,30,0,0,0,3,40,AD,1,2,2,11,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11.067,10.59,2,95.0,BW,NCTL,ND,0,0,0,-3,0,0.0,0.511999995904,-1,1,0,1,-1.126078905037933,0.0,-2.0607652450730236
30,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:25:06,1,5,31,0,0,0,4,0,0,2,1,2,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.873,3.741,1,108.0,W,CTL,D,0,0,0,-4,0,-0.9999990000010001,0.511999995904,-3,-1,0,0,-3.395900579422436,0.0,-2.269821674384503
35,2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:28:47,1,6,36,0,0,0,5,0,0,1,1,1,13,23,0,0,0,0,1,0,F,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.156,12.607,3,129.0,C,NCTL,,0,1,0,-5,0,0.0,0.511999995904,-1,1,-1,1,0.08804080488937366,1.0,1.02563325168087
